fqn,name,package,file,line,kind,status,reason
ichiran/conn:*is-dynamic-connection*,*is-dynamic-connection*,ichiran/conn,conn.lisp,14,global,skip,"""Boolean marking 'connection came from env"
ichiran/conn:*test-var*,*test-var*,ichiran/conn,conn.lisp,0,global,skip,Test fixture for the def-conn-var rebinding system; obsolete with per-Ctx ownership.
ichiran/conn:all-caches,all-caches,ichiran/conn,conn.lisp,110,fn,skip,Class-slot registry pattern doesn't translate. Replaced in Rust by per-cache OnceLock + DI when the DB layer lands; no 1:1 counterpart.
ichiran/conn:cache,cache,ichiran/conn,conn.lisp,96,class,skip,"""Class with one cached value"
ichiran/conn:def-conn-var,def-conn-var,ichiran/conn,conn.lisp,41,macro,skip,Macro registering a global into the per-connection variable rebinding list. The cross-DB rebinding pattern is gone — each Ctx owns its caches directly.
ichiran/conn:defcache,defcache,ichiran/conn,conn.lisp,135,macro,skip,Macro registering a cache + defining init-cache method. Rust shape has no registry; each cache is a typed Ctx field with hand-written accessor.
ichiran/conn:dp,dp,ichiran/conn,conn.lisp,149,fn,skip,Debug-printer wrapper around *debug*. Replaced by the tracing crate's emit + filter level.
ichiran/conn:ensure,ensure,ichiran/conn,conn.lisp,0,gf,skip,Generic-function lazy-init on a cache name. Per-cache lazy access becomes a method on Ctx over its OnceCell field.
ichiran/conn:get-cache,get-cache,ichiran/conn,conn.lisp,113,fn,skip,Looks up a cache instance from the class-side hash by name. Subsumed by typed-field access on Ctx; no name->instance dispatch.
ichiran/conn:get-ichiran-connection-env,get-ichiran-connection-env,ichiran/conn,conn.lisp,154,fn,ported,
ichiran/conn:get-spec,get-spec,ichiran/conn,conn.lisp,25,fn,skip,Lisp dbid-dispatch (nil/list/keyword → connection spec) doesn't translate. Connection registry will be handled via the Rust config crate when the DB layer lands.
ichiran/conn:init-all-caches,init-all-caches,ichiran/conn,conn.lisp,144,fn,skip,Class-slot registry pattern doesn't translate. Replaced in Rust by per-cache OnceLock + DI when the DB layer lands; no 1:1 counterpart.
ichiran/conn:init-cache,init-cache,ichiran/conn,conn.lisp,0,gf,skip,"""Generic-function dispatch on a cache name keyword. Per-cache builders become methods on Ctx"
ichiran/conn:let-db,let-db,ichiran/conn,conn.lisp,32,macro,skip,Rebinds *connection* for a dynamic scope. Multi-DB usage in Rust is Ctx::from_url(other); no scope-binding macro.
ichiran/conn:load-connection-from-env,load-connection-from-env,ichiran/conn,conn.lisp,166,fn,skip,"""Side-effects-on-globals semantics (set *connection*"
ichiran/conn:load-settings,load-settings,ichiran/conn,conn.lisp,76,fn,skip,Loads settings.lisp and overrides connection from env. No counterpart in Rust — config comes from env (or layered config-crate sources) via Ctx::from_env.
ichiran/conn:reset-cache,reset-cache,ichiran/conn,conn.lisp,0,gf,skip,Generic-function force-rebuild of a named cache. Per-cache reset becomes a method on Ctx; no name->instance dispatch.
ichiran/conn:switch-conn-vars,switch-conn-vars,ichiran/conn,conn.lisp,65,fn,skip,Per-connection variable rebinding from *conn-var-cache*. Rust has no dynamic-variable shadowing; replaced by per-Database struct ownership of caches when the DB layer lands. Same family as all-caches / get-spec.
ichiran/conn:with-db,with-db,ichiran/conn,conn.lisp,46,macro,skip,Rebinds *connection* and re-derives per-conn-var cache for a dynamic scope. Replaced by per-Ctx ownership of pool and caches; multi-DB = construct another Ctx.
ichiran/conn:with-log,with-log,ichiran/conn,conn.lisp,86,macro,skip,Wraps cl-postgres:*query-log* to a stream for the body. Replaced by sqlx + tracing query logging.
ichiran/custom:*municipality-types*,*municipality-types*,ichiran/custom,dict-custom.lisp,97,global,pending,
ichiran/custom:*municipality-types-description*,*municipality-types-description*,ichiran/custom,dict-custom.lisp,107,global,pending,
ichiran/custom:*municipality-types-order*,*municipality-types-order*,ichiran/custom,dict-custom.lisp,118,global,pending,
ichiran/custom:*silent-p*,*silent-p*,ichiran/custom,dict-custom.lisp,5,global,pending,
ichiran/custom:as-xml,as-xml,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:as-xml-simple,as-xml-simple,ichiran/custom,dict-custom.lisp,225,fn,pending,
ichiran/custom:copy-municipality,copy-municipality,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:copy-ward,copy-ward,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:copy-xml-entry,copy-xml-entry,ichiran/custom,dict-custom.lisp,61,fn,pending,
ichiran/custom:csv-loader,csv-loader,ichiran/custom,dict-custom.lisp,82,class,pending,
ichiran/custom:custom-source,custom-source,ichiran/custom,dict-custom.lisp,54,class,pending,
ichiran/custom:get-custom-data,get-custom-data,ichiran/custom,dict-custom.lisp,322,fn,pending,
ichiran/custom:get-words,get-words,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:insert,insert,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:insert-entry,insert-entry,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:load-custom-data,load-custom-data,ichiran/custom,dict-custom.lisp,329,fn,pending,
ichiran/custom:make-municipality,make-municipality,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:make-ward,make-ward,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:make-xml-entry,make-xml-entry,ichiran/custom,dict-custom.lisp,61,fn,pending,
ichiran/custom:municipality,municipality,ichiran/custom,dict-custom.lisp,140,struct,pending,
ichiran/custom:municipality-csv,municipality-csv,ichiran/custom,dict-custom.lisp,93,class,pending,
ichiran/custom:municipality-definition,municipality-definition,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:municipality-p,municipality-p,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:municipality-prefecture,municipality-prefecture,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:municipality-reading,municipality-reading,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:municipality-short,municipality-short,ichiran/custom,dict-custom.lisp,123,fn,pending,
ichiran/custom:municipality-text,municipality-text,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:municipality-type,municipality-type,ichiran/custom,dict-custom.lisp,142,fn,pending,
ichiran/custom:normalize-geo,normalize-geo,ichiran/custom,dict-custom.lisp,176,fn,pending,
ichiran/custom:process-entry,process-entry,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:romanize-municipality,romanize-municipality,ichiran/custom,dict-custom.lisp,133,fn,pending,
ichiran/custom:slurp,slurp,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:source-path,source-path,ichiran/custom,dict-custom.lisp,318,fn,pending,
ichiran/custom:test-entry,test-entry,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:update-entry,update-entry,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:update-entry-gloss,update-entry-gloss,ichiran/custom,dict-custom.lisp,0,gf,pending,
ichiran/custom:ward,ward,ichiran/custom,dict-custom.lisp,269,struct,pending,
ichiran/custom:ward-city,ward-city,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:ward-csv,ward-csv,ichiran/custom,dict-custom.lisp,266,class,pending,
ichiran/custom:ward-definition,ward-definition,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:ward-p,ward-p,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:ward-reading,ward-reading,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:ward-text,ward-text,ichiran/custom,dict-custom.lisp,274,fn,pending,
ichiran/custom:xml-entry,xml-entry,ichiran/custom,dict-custom.lisp,63,struct,pending,
ichiran/custom:xml-entry-content,xml-entry-content,ichiran/custom,dict-custom.lisp,61,fn,pending,
ichiran/custom:xml-entry-p,xml-entry-p,ichiran/custom,dict-custom.lisp,61,fn,pending,
ichiran/custom:xml-entry-seq,xml-entry-seq,ichiran/custom,dict-custom.lisp,61,fn,pending,
ichiran/custom:xml-loader,xml-loader,ichiran/custom,dict-custom.lisp,59,class,pending,
ichiran/dict:*aux-verbs*,*aux-verbs*,ichiran/dict,dict-grammar.lisp,1072,global,pending,
ichiran/dict:*conj-description*,*conj-description*,ichiran/dict,dict-load.lisp,0,global,pending,
ichiran/dict:*conj-rules*,*conj-rules*,ichiran/dict,dict-load.lisp,0,global,pending,
ichiran/dict:*copulae*,*copulae*,ichiran/dict,dict-errata.lisp,1205,global,pending,
ichiran/dict:*counter-accepts*,*counter-accepts*,ichiran/dict,dict-counters.lisp,217,global,ported,
ichiran/dict:*counter-cache*,*counter-cache*,ichiran/dict,dict-counters.lisp,0,global,ported,
ichiran/dict:*counter-foreign*,*counter-foreign*,ichiran/dict,dict-counters.lisp,219,global,ported,
ichiran/dict:*counter-suffixes*,*counter-suffixes*,ichiran/dict,dict-counters.lisp,213,global,ported,
ichiran/dict:*disable-hints*,*disable-hints*,ichiran/dict,dict.lisp,78,global,pending,
ichiran/dict:*do-not-conjugate*,*do-not-conjugate*,ichiran/dict,dict-load.lisp,303,global,pending,
ichiran/dict:*do-not-conjugate-seq*,*do-not-conjugate-seq*,ichiran/dict,dict-load.lisp,305,global,pending,
ichiran/dict:*easy-hints-seqs*,*easy-hints-seqs*,ichiran/dict,dict-split.lisp,904,global,pending,
ichiran/dict:*extra-counter-ids*,*extra-counter-ids*,ichiran/dict,dict-counters.lisp,310,global,ported,
ichiran/dict:*final-prt*,*final-prt*,ichiran/dict,dict-errata.lisp,1182,global,pending,
ichiran/dict:*force-kanji-break*,*force-kanji-break*,ichiran/dict,dict-errata.lisp,1226,global,pending,
ichiran/dict:*gap-penalty*,*gap-penalty*,ichiran/dict,dict.lisp,1165,global,pending,
ichiran/dict:*hint-char-map*,*hint-char-map*,ichiran/dict,dict-split.lisp,816,global,pending,
ichiran/dict:*hint-map*,*hint-map*,ichiran/dict,dict-split.lisp,850,global,pending,
ichiran/dict:*hint-simplify-map*,*hint-simplify-map*,ichiran/dict,dict-split.lisp,818,global,pending,
ichiran/dict:*hints-checked*,*hints-checked*,ichiran/dict,dict-split.lisp,947,global,pending,
ichiran/dict:*honorifics*,*honorifics*,ichiran/dict,dict-grammar.lisp,1156,global,pending,
ichiran/dict:*identical-word-score-cutoff*,*identical-word-score-cutoff*,ichiran/dict,dict.lisp,1020,global,pending,
ichiran/dict:*init-suffixes-lock*,*init-suffixes-lock*,ichiran/dict,dict-grammar.lisp,163,global,skip,SBCL mutex guarding init-suffixes-thread's populator and powering init-suffixes-running-p. Subsumed by OnceLock::get_or_init's built-in once-only synchronization on *suffix-cache* / *suffix-class*; no standalone mutex survives.
ichiran/dict:*is-arch-cache*,*is-arch-cache*,ichiran/dict,dict.lisp,0,global,ported,
ichiran/dict:*jmdict-data*,*jmdict-data*,ichiran/dict,settings.lisp,12,global,pending,
ichiran/dict:*jmdict-path*,*jmdict-path*,ichiran/dict,settings.lisp,10,global,pending,
ichiran/dict:*kana-hint-map*,*kana-hint-map*,ichiran/dict,dict-split.lisp,832,global,pending,
ichiran/dict:*kana-hint-mod*,*kana-hint-mod*,ichiran/dict,dict-split.lisp,813,global,pending,
ichiran/dict:*kana-hint-space*,*kana-hint-space*,ichiran/dict,dict-split.lisp,814,global,pending,
ichiran/dict:*length-coeff-sequences*,*length-coeff-sequences*,ichiran/dict,dict.lisp,686,global,pending,
ichiran/dict:*max-word-length*,*max-word-length*,ichiran/dict,dict.lisp,486,global,pending,
ichiran/dict:*no-conj-data*,*no-conj-data*,ichiran/dict,dict.lisp,0,global,ported,
ichiran/dict:*no-kanji-break*,*no-kanji-break*,ichiran/dict,dict-errata.lisp,1229,global,pending,
ichiran/dict:*no-kanji-break-penalty*,*no-kanji-break-penalty*,ichiran/dict,dict-errata.lisp,1214,global,pending,
ichiran/dict:*non-final-prt*,*non-final-prt*,ichiran/dict,dict-errata.lisp,1209,global,pending,
ichiran/dict:*noun-particles*,*noun-particles*,ichiran/dict,dict-grammar.lisp,801,global,pending,
ichiran/dict:*penalty-list*,*penalty-list*,ichiran/dict,dict-grammar.lisp,964,global,pending,
ichiran/dict:*pos-by-index*,*pos-by-index*,ichiran/dict,dict-load.lisp,0,global,pending,
ichiran/dict:*pos-index*,*pos-index*,ichiran/dict,dict-load.lisp,0,global,pending,
ichiran/dict:*pos-with-conj-rules*,*pos-with-conj-rules*,ichiran/dict,dict-load.lisp,307,global,pending,
ichiran/dict:*score-cutoff*,*score-cutoff*,ichiran/dict,dict.lisp,1069,global,pending,
ichiran/dict:*secondary-conjugation-types*,*secondary-conjugation-types*,ichiran/dict,dict-load.lisp,314,global,pending,
ichiran/dict:*secondary-conjugation-types-from*,*secondary-conjugation-types-from*,ichiran/dict,dict-load.lisp,312,global,pending,
ichiran/dict:*segfilter-list*,*segfilter-list*,ichiran/dict,dict-grammar.lisp,1024,global,pending,
ichiran/dict:*segment-score-cutoff*,*segment-score-cutoff*,ichiran/dict,dict.lisp,1351,global,pending,
ichiran/dict:*segsplit-map*,*segsplit-map*,ichiran/dict,dict-split.lisp,704,global,pending,
ichiran/dict:*semi-final-prt*,*semi-final-prt*,ichiran/dict,dict-errata.lisp,1196,global,pending,
ichiran/dict:*skip-conj-forms*,*skip-conj-forms*,ichiran/dict,dict-errata.lisp,1310,global,pending,
ichiran/dict:*skip-counter-ids*,*skip-counter-ids*,ichiran/dict,dict-counters.lisp,315,global,ported,
ichiran/dict:*skip-words*,*skip-words*,ichiran/dict,dict-errata.lisp,1155,global,pending,
ichiran/dict:*special-counters*,*special-counters*,ichiran/dict,dict-counters.lisp,211,global,ported,Doc-only stub: registry value-fn type depends on the unported cache populator (wave 110); storage home depends on the unbuilt KaniranContext::Inner. Re-port as ported once both prerequisites land.
ichiran/dict:*split-map*,*split-map*,ichiran/dict,dict-split.lisp,5,global,pending,
ichiran/dict:*substring-hash*,*substring-hash*,ichiran/dict,dict.lisp,487,global,pending,
ichiran/dict:*suffix-cache*,*suffix-cache*,ichiran/dict,dict-grammar.lisp,0,global,ported,
ichiran/dict:*suffix-class*,*suffix-class*,ichiran/dict,dict-grammar.lisp,0,global,ported,
ichiran/dict:*suffix-description*,*suffix-description*,ichiran/dict,dict-grammar.lisp,0,global,pending,
ichiran/dict:*suffix-list*,*suffix-list*,ichiran/dict,dict-grammar.lisp,329,global,pending,
ichiran/dict:*suffix-map-temp*,*suffix-map-temp*,ichiran/dict,dict.lisp,1049,global,pending,
ichiran/dict:*suffix-next-end*,*suffix-next-end*,ichiran/dict,dict.lisp,1050,global,pending,
ichiran/dict:*suffix-unique-only*,*suffix-unique-only*,ichiran/dict,dict-grammar.lisp,330,global,pending,
ichiran/dict:*synergy-list*,*synergy-list*,ichiran/dict,dict-grammar.lisp,723,global,pending,
ichiran/dict:*weak-conj-forms*,*weak-conj-forms*,ichiran/dict,dict-errata.lisp,1316,global,pending,
ichiran/dict:abbr-beba,abbr-beba,ichiran/dict,dict-grammar.lisp,658,fn,pending,
ichiran/dict:abbr-dewanai,abbr-dewanai,ichiran/dict,dict-grammar.lisp,635,fn,pending,
ichiran/dict:abbr-geba,abbr-geba,ichiran/dict,dict-grammar.lisp,652,fn,pending,
ichiran/dict:abbr-ii,abbr-ii,ichiran/dict,dict-grammar.lisp,677,fn,pending,
ichiran/dict:abbr-keba,abbr-keba,ichiran/dict,dict-grammar.lisp,650,fn,pending,
ichiran/dict:abbr-meba,abbr-meba,ichiran/dict,dict-grammar.lisp,661,fn,pending,
ichiran/dict:abbr-n,abbr-n,ichiran/dict,dict-grammar.lisp,616,fn,pending,
ichiran/dict:abbr-nakereba,abbr-nakereba,ichiran/dict,dict-grammar.lisp,627,fn,pending,
ichiran/dict:abbr-neba,abbr-neba,ichiran/dict,dict-grammar.lisp,655,fn,pending,
ichiran/dict:abbr-nee,abbr-nee,ichiran/dict,dict-grammar.lisp,596,fn,pending,
ichiran/dict:abbr-nx,abbr-nx,ichiran/dict,dict-grammar.lisp,605,fn,pending,
ichiran/dict:abbr-reba,abbr-reba,ichiran/dict,dict-grammar.lisp,647,fn,pending,
ichiran/dict:abbr-seba,abbr-seba,ichiran/dict,dict-grammar.lisp,666,fn,pending,
ichiran/dict:abbr-shimasho,abbr-shimasho,ichiran/dict,dict-grammar.lisp,632,fn,pending,
ichiran/dict:abbr-teba,abbr-teba,ichiran/dict,dict-grammar.lisp,639,fn,pending,
ichiran/dict:add-conj,add-conj,ichiran/dict,dict-errata.lisp,15,fn,pending,
ichiran/dict:add-conj-reading,add-conj-reading,ichiran/dict,dict-errata.lisp,109,fn,pending,
ichiran/dict:add-deha-ja-readings,add-deha-ja-readings,ichiran/dict,dict-errata.lisp,171,fn,pending,
ichiran/dict:add-errata,add-errata,ichiran/dict,dict-errata.lisp,289,fn,pending,
ichiran/dict:add-errata-apr19,add-errata-apr19,ichiran/dict,dict-errata.lisp,847,fn,pending,
ichiran/dict:add-errata-apr20,add-errata-apr20,ichiran/dict,dict-errata.lisp,932,fn,pending,
ichiran/dict:add-errata-aug18,add-errata-aug18,ichiran/dict,dict-errata.lisp,803,fn,pending,
ichiran/dict:add-errata-counters,add-errata-counters,ichiran/dict,dict-errata.lisp,1159,fn,pending,
ichiran/dict:add-errata-dec23,add-errata-dec23,ichiran/dict,dict-errata.lisp,1028,fn,pending,
ichiran/dict:add-errata-feb17,add-errata-feb17,ichiran/dict,dict-errata.lisp,608,fn,pending,
ichiran/dict:add-errata-jan18,add-errata-jan18,ichiran/dict,dict-errata.lisp,697,fn,pending,
ichiran/dict:add-errata-jan19,add-errata-jan19,ichiran/dict,dict-errata.lisp,823,fn,pending,
ichiran/dict:add-errata-jan20,add-errata-jan20,ichiran/dict,dict-errata.lisp,867,fn,pending,
ichiran/dict:add-errata-jan21,add-errata-jan21,ichiran/dict,dict-errata.lisp,979,fn,pending,
ichiran/dict:add-errata-jan22,add-errata-jan22,ichiran/dict,dict-errata.lisp,1017,fn,pending,
ichiran/dict:add-errata-jan25,add-errata-jan25,ichiran/dict,dict-errata.lisp,1055,fn,pending,
ichiran/dict:add-errata-jan26,add-errata-jan26,ichiran/dict,dict-errata.lisp,1077,fn,pending,
ichiran/dict:add-errata-jul20,add-errata-jul20,ichiran/dict,dict-errata.lisp,961,fn,pending,
ichiran/dict:add-errata-mar18,add-errata-mar18,ichiran/dict,dict-errata.lisp,764,fn,pending,
ichiran/dict:add-errata-may21,add-errata-may21,ichiran/dict,dict-errata.lisp,1006,fn,pending,
ichiran/dict:add-gloss,add-gloss,ichiran/dict,dict-errata.lisp,156,fn,pending,
ichiran/dict:add-gozaimasu-conjs,add-gozaimasu-conjs,ichiran/dict,dict-errata.lisp,263,fn,pending,
ichiran/dict:add-new-sense,add-new-sense,ichiran/dict,dict-load.lisp,91,fn,pending,
ichiran/dict:add-new-sense*,add-new-sense*,ichiran/dict,dict-errata.lisp,153,fn,pending,
ichiran/dict:add-primary-nokanji,add-primary-nokanji,ichiran/dict,dict-errata.lisp,251,fn,pending,
ichiran/dict:add-reading,add-reading,ichiran/dict,dict-errata.lisp,35,fn,pending,
ichiran/dict:add-sense,add-sense,ichiran/dict,dict-errata.lisp,146,fn,pending,
ichiran/dict:add-sense-prop,add-sense-prop,ichiran/dict,dict-errata.lisp,140,fn,pending,
ichiran/dict:adjoin-word,adjoin-word,ichiran/dict,dict.lisp,0,gf,pending,
ichiran/dict:apply-patch,apply-patch,ichiran/dict,dict-grammar.lisp,444,fn,pending,
ichiran/dict:apply-score-mod,apply-score-mod,ichiran/dict,dict.lisp,0,gf,pending,
ichiran/dict:apply-segfilters,apply-segfilters,ichiran/dict,dict-grammar.lisp,1177,fn,pending,
ichiran/dict:best-kana-conj,best-kana-conj,ichiran/dict,dict.lisp,428,fn,pending,
ichiran/dict:best-kanji-conj,best-kanji-conj,ichiran/dict,dict.lisp,457,fn,pending,
ichiran/dict:calc-score,calc-score,ichiran/dict,dict.lisp,775,fn,pending,
ichiran/dict:check-easy-hints,check-easy-hints,ichiran/dict,dict-split.lisp,950,fn,pending,
ichiran/dict:classify,classify,ichiran/dict,dict-grammar.lisp,1046,fn,pending,
ichiran/dict:compare-common,compare-common,ichiran/dict,dict.lisp,1022,fn,pending,
ichiran/dict:compound-text,compound-text,ichiran/dict,dict.lisp,608,class,pending,
ichiran/dict:conj-data,conj-data,ichiran/dict,dict.lisp,327,struct,pending,
ichiran/dict:conj-data-from,conj-data-from,ichiran/dict,dict.lisp,325,fn,pending,
